timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-01 00:00:00,0.07721800,0.07750000,0.07717100,0.07727800,4894.73700000,1527814799999,378.76084721,6943,2673.54400000,206.91364844,0
2018-06-01 01:00:00,0.07727800,0.07743300,0.07712000,0.07726100,3883.11200000,1527818399999,300.11142395,5956,2110.89300000,163.16450382,0
2018-06-01 02:00:00,0.07720500,0.07739200,0.07591700,0.07645400,7680.83200000,1527821999999,587.43051519,12665,4162.58800000,318.21188193,0
2018-06-01 03:00:00,0.07645600,0.07670500,0.07625100,0.07655000,2974.34300000,1527825599999,227.56860324,6846,1565.63300000,119.80930227,0
2018-06-01 04:00:00,0.07655000,0.07655000,0.07625100,0.07651000,5097.13600000,1527829199999,389.52123594,7164,2379.88300000,181.90601735,0
2018-06-01 05:00:00,0.07654800,0.07675300,0.07638000,0.07669200,5160.72700000,1527832799999,395.39923292,7636,3539.98800000,271.26009703,0
2018-06-01 06:00:00,0.07669200,0.07718100,0.07669000,0.07709600,5610.83700000,1527836399999,431.94301074,9934,3651.19700000,281.11670512,0
2018-06-01 07:00:00,0.07709600,0.07725400,0.07699700,0.07704400,6161.70700000,1527839999999,475.15581753,8886,3705.44400000,285.78858136,0
2018-06-01 08:00:00,0.07700100,0.07757700,0.07693200,0.07754600,6598.86100000,1527843599999,509.40062222,10632,4365.83100000,337.03767640,0
2018-06-01 09:00:00,0.07754600,0.07767500,0.07723900,0.07759400,6252.16900000,1527847199999,484.68909905,9426,3789.80600000,293.85141295,0
2018-06-01 10:00:00,0.07759300,0.07769900,0.07736600,0.07755900,3722.72400000,1527850799999,288.63358432,6150,1979.95600000,153.53395986,0
2018-06-01 11:00:00,0.07757100,0.07775000,0.07737000,0.07745400,5277.24800000,1527854399999,409.15578085,9738,3191.86400000,247.51328255,0
